dataset,encoding,preprocessing,test_acc_mean,test_acc_std,f1_mean,f1_std
breast_cancer,amplitude,minmax_pi,0.61166,0.09010345720337262,0.48599999999999993,0.10168050452274516
breast_cancer,amplitude,pca_minmax,0.5292600000000001,0.1579253557855736,0.36474,0.09735187722894714
breast_cancer,amplitude,zscore_sigmoid,0.48525999999999997,0.1377710709837156,0.32867999999999997,0.06259893769066693
breast_cancer,angle_ry,pca_minmax,0.64672,0.040732505447124194,0.45648,0.09409711472728588
breast_cancer,basis,pca_minmax,0.73056,0.1828079675506514,0.71692,0.20283971997614272
breast_cancer,iqp_full,pca_minmax,0.55168,0.1567526299619882,0.53076,0.160006821729575
breast_cancer,reuploading,pca_minmax,0.6713800000000001,0.22692353778310442,0.59038,0.24483796070054167
credit_fraud,amplitude,minmax_pi,0.9699,0.0011180339887498602,0.5077200000000001,0.034703775010796724
credit_fraud,amplitude,pca_minmax,0.9699,0.0011180339887498759,0.5077200000000001,0.03470377501079672
credit_fraud,amplitude,zscore_sigmoid,0.97142,0.0033018176812173844,0.5481,0.08826284609052669
credit_fraud,angle_ry,pca_minmax,0.9694,0.0,0.4922000000000001,0.0
credit_fraud,basis,pca_minmax,0.50102,0.033130378808579906,0.35869999999999996,0.028559499295330793
credit_fraud,iqp_full,pca_minmax,0.9576399999999999,0.03237341501911718,0.6779999999999999,0.10574821511496071
credit_fraud,reuploading,pca_minmax,0.9694,0.0,0.4922000000000001,0.0
har,amplitude,minmax_pi,0.1978,0.08268367432570956,0.10371999999999999,0.06963351922745252
har,amplitude,pca_minmax,0.20111999999999997,0.13742329496850234,0.10611999999999999,0.08862684130668316
har,amplitude,zscore_sigmoid,0.22056,0.09604575992723469,0.11838,0.0858785304951127
har,angle_ry,pca_minmax,0.3989,0.24269716726818222,0.32862,0.25010263293296214
har,iqp_full,pca_minmax,0.21944,0.0910605457923463,0.18642,0.06509575254960956
har,reuploading,pca_minmax,0.26664,0.1766951414159427,0.19901999999999997,0.13331622931961434
heart_disease,amplitude,minmax_pi,0.54814,0.11460324166444856,0.5092800000000001,0.14100459921577027
heart_disease,amplitude,pca_minmax,0.52964,0.10522831368030185,0.4664400000000001,0.10189756130546013
heart_disease,amplitude,zscore_sigmoid,0.55186,0.11369891380307903,0.49368,0.1534374693482658
heart_disease,angle_ry,minmax_pi,0.41109999999999997,0.1406651875909601,0.3209,0.09402552844839532
heart_disease,angle_ry,none,0.47406,0.05171424368585507,0.46651999999999993,0.05983971925067828
heart_disease,angle_ry,pca_minmax,0.45554000000000006,0.08029942714615093,0.38726,0.11459543184612556
heart_disease,angle_ry,zscore_sigmoid,0.43704,0.15305682931512726,0.34882,0.1187564398253838
heart_disease,basis,pca_minmax,0.57406,0.05237893660623513,0.56904,0.04890943671726342
heart_disease,iqp_full,pca_minmax,0.49628000000000005,0.09202280695566725,0.48162000000000005,0.09897932612419628
heart_disease,reuploading,pca_minmax,0.58518,0.07702929312930244,0.53802,0.08569753205314605
iris,amplitude,minmax_pi,0.6399999999999999,0.04346774666347451,0.5474600000000001,0.044802488770156544
iris,amplitude,pca_minmax,0.55334,0.23404107118196155,0.5216999999999999,0.21895427604867634
iris,amplitude,zscore_sigmoid,0.55334,0.14830599448437676,0.45602,0.18239478336838472
iris,angle_ry,minmax_pi,0.42000000000000004,0.2996062249019536,0.39783999999999997,0.29927050138628764
iris,angle_ry,none,0.6333599999999999,0.2527504263102241,0.5847399999999999,0.29679175022227283
iris,angle_ry,pca_minmax,0.46665999999999996,0.1683052821512147,0.40612000000000004,0.1733311339604054
iris,angle_ry,zscore_sigmoid,0.42000000000000004,0.2996312567139817,0.38554,0.2892057278132644
iris,iqp_full,minmax_pi,0.40666,0.07956549503396557,0.38374,0.08794937748500554
iris,iqp_full,none,0.42664,0.10904942915944128,0.40654,0.09515951344978597
iris,iqp_full,pca_minmax,0.43334,0.12017580039259151,0.42424,0.12471685130727123
iris,iqp_full,zscore_sigmoid,0.34668,0.16599732527965624,0.33218000000000003,0.17818239812057757
iris,reuploading,minmax_pi,0.45334,0.2155115379741883,0.37394,0.16601196643615787
iris,reuploading,none,0.41997999999999996,0.2804864827402561,0.38132,0.2845523449209301
iris,reuploading,pca_minmax,0.41332,0.14450644276294397,0.36162,0.1746553377369269
iris,reuploading,zscore_sigmoid,0.62,0.2304862034916624,0.54724,0.2827543333001282
mnist_01,amplitude,minmax_pi,0.55556,0.09469737588761366,0.44673999999999997,0.17012778432695821
mnist_01,amplitude,pca_minmax,0.75276,0.19921113924678005,0.7227,0.24753768399983062
mnist_01,amplitude,zscore_sigmoid,0.53334,0.044566500872291935,0.44539999999999996,0.11506415601741495
mnist_01,angle_ry,pca_minmax,0.5694600000000001,0.24610264728360806,0.48617999999999995,0.2918111409799153
mnist_01,basis,pca_minmax,0.9916599999999999,0.012432537954898848,0.9916599999999999,0.012432537954898848
mnist_01,iqp_full,pca_minmax,0.58054,0.060867955444552285,0.5714400000000001,0.05408708718354131
mnist_01,reuploading,pca_minmax,0.6721999999999999,0.18362371851152565,0.6495599999999999,0.20301456351700486
nsl_kdd,amplitude,minmax_pi,0.28700000000000003,0.12249234669970202,0.12846,0.03274756479495842
nsl_kdd,amplitude,pca_minmax,0.10400000000000001,0.12342254656261148,0.09247999999999999,0.09364260248412579
nsl_kdd,amplitude,zscore_sigmoid,0.33599999999999997,0.11209092291528339,0.14682,0.07303336223945875
nsl_kdd,angle_ry,pca_minmax,0.554,0.21574435102685768,0.4077,0.23437328132703183
nsl_kdd,iqp_full,pca_minmax,0.375,0.1871329741119934,0.27974,0.127746361983424
nsl_kdd,reuploading,pca_minmax,0.45499999999999996,0.13856406460551018,0.23584,0.14410448639789117
wine,amplitude,minmax_pi,0.5123800000000001,0.17968253114869015,0.43072,0.225023469887032
wine,amplitude,pca_minmax,0.43238000000000004,0.1337896931755208,0.37888,0.1399172505447416
wine,amplitude,zscore_sigmoid,0.34997999999999996,0.17810291126200045,0.24733999999999998,0.16209726401145702
wine,angle_ry,minmax_pi,0.43857999999999997,0.11739153291443126,0.40090000000000003,0.11101497646714159
wine,angle_ry,none,0.41002,0.13563254402981612,0.40102000000000004,0.14085477272708938
wine,angle_ry,pca_minmax,0.43254000000000004,0.2357478801601406,0.38395999999999997,0.20907023461028593
wine,angle_ry,zscore_sigmoid,0.34808,0.09508946839687347,0.32442000000000004,0.11626513664895421
wine,iqp_full,pca_minmax,0.32033999999999996,0.032533567280579594,0.30706,0.03474058145742526
wine,reuploading,pca_minmax,0.45014000000000004,0.12369067466870735,0.38716,0.17376811560237396
